open,high,low,close,volume,period
28917.8960716200000000,29599.0000000000000000,28656.9035239000000000,29330.1358574000000000,977.2474242000000000,1609459200000
29322.3173691600000000,33242.7221000000000000,28963.7000000000000000,32184.5129321600000000,2411.8664157800000000,1609545600000
32202.5473860300000000,34774.1197438600000000,31993.0000000000000000,33012.9821189100000000,2189.9087613800000000,1609632000000
33026.0254810500000000,33563.7829198800000000,27973.9795227400000000,31996.2689845700000000,3389.2894513500000000,1609718400000
32004.6155740500000000,34384.9794000000000000,29919.2965534100000000,33945.2902251900000000,2271.3385271800000000,1609804800000
33966.5651388500000000,35729.1151732600000000,33294.7223320900000000,34464.8268956800000000,1273.3996226000000000,1609891200000
39698.3071464900000000,39934.0538730300000000,38573.9000000000000000,39430.3894977400000000,280.0102581400000000,1609977600000
39426.4461621100000000,41888.0000000000000000,36596.8012283100000000,40600.0000000000000000,3259.5895323100000000,1610064000000
40594.5548949200000000,41352.3247058200000000,38750.0000000000000000,40091.1095605000000000,2176.0444545200000000,1610150400000
40093.1140831000000000,41292.9066315200000000,35135.5091814100000000,38181.9041718300000000,2434.3215247200000000,1610236800000
38181.9041718300000000,38244.9494456300000000,30313.0000000000000000,35438.7036586100000000,6350.0950022300000000,1610323200000
35410.2560474000000000,36600.0000000000000000,32551.4873385000000000,34063.0886454100000000,3527.8696883200000000,1610409600000
34050.3020995300000000,37777.0000000000000000,32400.0000000000000000,37369.2392606100000000,2850.0285302600000000,1610496000000
37369.2392606100000000,40080.0000000000000000,36760.5978922400000000,39158.7564293700000000,2294.4286529300000000,1610582400000
39156.0000000000000000,39710.3465380100000000,34444.0000000000000000,36745.8629209500000000,3062.3733043600000000,1610668800000
36757.8739257700000000,37950.4160829500000000,35253.3000000000000000,36011.1086744900000000,1992.3673927400000000,1610755200000
36001.8003641500000000,36850.0000000000000000,33872.6887652500000000,35835.9315785900000000,1317.8160629100000000,1610841600000
35823.8502662800000000,37433.5944465000000000,34783.0000000000000000,36610.6291326200000000,1556.3262673300000000,1610928000000
36623.1990346600000000,37839.2001935600000000,35871.6989691700000000,35894.6561280400000000,1797.6446945500000000,1611014400000
35927.0213967800000000,36404.8702266000000000,33408.0000000000000000,35482.9689720200000000,2193.0867432700000000,1611100800000
35482.9689720200000000,35596.4533193100000000,30096.5399810600000000,30841.8279905500000000,3086.3631771700000000,1611187200000
30856.5147470600000000,33799.5000000000000000,28863.9173036300000000,32969.6667181000000000,2347.0689904200000000,1611273600000
32936.4728160600000000,33431.7872236300000000,31312.2730587400000000,32074.9537557300000000,1038.4618187800000000,1611360000000
32074.3281959600000000,33057.1169256800000000,30923.0615507400000000,32220.3192393000000000,920.7463733000000000,1611446400000
32255.9240025000000000,34823.5948609500000000,31906.8305118100000000,32275.9000741200000000,1694.2068312900000000,1611532800000
32216.1039468000000000,32885.0000000000000000,30833.6878248000000000,32490.9484883600000000,1467.4617208000000000,1611619200000
32486.9226035500000000,32550.2429534800000000,29252.3411668200000000,30363.0550025700000000,2662.5259502400000000,1611705600000
30384.0000000000000000,33746.1214077100000000,29836.7346938700000000,33350.5765126500000000,2214.3410738700000000,1611792000000
33354.2924459100000000,38380.0000000000000000,31912.0000000000000000,34258.1220562500000000,3893.6891841500000000,1611878400000
34258.1220562500000000,34922.0211046900000000,32862.5789492700000000,34291.4573240200000000,1339.8186613900000000,1611964800000
34275.5460342800000000,34325.3236000000000000,32200.0000000000000000,33103.9642444700000000,1132.0873196200000000,1612051200000
33108.6158013300000000,34682.7666468100000000,32305.4577156600000000,33537.9922671900000000,1885.7466929100000000,1612137600000
33515.6587858500000000,35960.5226276700000000,33437.3152543200000000,35489.9221330700000000,1124.3173525000000000,1612224000000
35477.9787022800000000,37653.1159061000000000,35387.0088462200000000,37633.9578083700000000,1244.1785697600000000,1612310400000
37638.9325619100000000,38682.5620000000000000,36193.1046934700000000,36971.5828087000000000,1696.2190440700000000,1612396800000
36940.4601117000000000,38296.7892711100000000,36551.6000000100000000,38271.8108574900000000,1030.4758562400000000,1612483200000
38291.9808646200000000,40934.2778076300000000,38230.2855181100000000,39200.0000000000000000,1649.1509734900000000,1612569600000
39209.1267596100000000,39694.0000000000000000,37322.1146041900000000,38814.4078000100000000,1509.4066467900000000,1612656000000
38814.4078000000000000,46599.0000000000000000,38020.7863710000000000,46359.3650520000000000,2598.2947942800000000,1612742400000
46379.2212730800000000,48108.9033688900000000,45001.0000000000000000,46453.2269392700000000,2081.0306149000000000,1612828800000
46472.7446507000000000,47300.0000000000000000,43762.7800000000000000,44816.9570359600000000,2182.2649416700000000,1612915200000
44814.7161456900000000,48634.6660777600000000,44035.6195000000000000,47974.2488841700000000,1496.1976621100000000,1613001600000
48006.6948617200000000,48982.1423433400000000,46161.5531346600000000,47340.4189114400000000,1572.2665284000000000,1613088000000
47307.9707000000000000,48094.1233542100000000,46275.0000000000000000,47150.7969729600000000,1112.3228960400000000,1613174400000
