Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,0.0042849997989833355,0.004360999912023544,0.0042849997989833355,0.004360999912023544,0.004360999912023544,2478
2018-09-25,0.004358000122010708,0.007826999761164188,0.0042500002309679985,0.007799000013619661,0.007799000013619661,3285
2018-09-26,0.00784400012344122,0.009437999688088894,0.0073079997673630714,0.00873200036585331,0.00873200036585331,2947
2018-09-27,0.0086899995803833,0.009549000300467014,0.008685999549925327,0.008751999586820602,0.008751999586820602,3164
2018-09-28,0.008705999702215195,0.009083000011742115,0.00571900000795722,0.008248000405728817,0.008248000405728817,3633
2018-09-29,0.008138000033795834,0.008588000200688839,0.0064849997870624065,0.006550000049173832,0.006550000049173832,3047
2018-09-30,0.006597000174224377,0.007031000219285488,0.00634900014847517,0.006845999974757433,0.006845999974757433,2089
2018-10-01,0.006833000108599663,0.007164000067859888,0.006572000216692686,0.006763000041246414,0.006763000041246414,3515
2018-10-02,0.0067610000260174274,0.006804000120609999,0.005896999966353178,0.006076000165194273,0.006076000165194273,3631
2018-10-03,0.0060789999552071095,0.0064929998479783535,0.005923999939113855,0.006022000219672918,0.006022000219672918,3159
2018-10-04,0.005979999899864197,0.006498999893665314,0.005406999960541725,0.006054999772459269,0.006054999772459269,3379
2018-10-05,0.00607800018042326,0.006568000186234713,0.0059710000641644,0.005985999945551157,0.005985999945551157,2482
2018-10-06,0.005996000021696091,0.006393000017851591,0.005187000147998333,0.005406999960541725,0.005406999960541725,2450
2018-10-07,0.005423999857157469,0.00636899983510375,0.005034999921917915,0.005797000136226416,0.005797000136226416,1971
2018-10-08,0.005824000108987093,0.005979999899864197,0.004982000216841698,0.005044999998062849,0.005044999998062849,1121
2018-10-09,0.005059000104665756,0.0070569999516010284,0.004987000022083521,0.006637999787926674,0.006637999787926674,1628
2018-10-10,0.0066189998760819435,0.00797600019723177,0.005807000212371349,0.006812000181525946,0.006812000181525946,2706
2018-10-11,0.006785999983549118,0.0067889997735619545,0.005235999822616577,0.005413999781012535,0.005413999781012535,1397
2018-10-12,0.005408000200986862,0.006785000208765268,0.003702000016346574,0.0064570000395178795,0.0064570000395178795,1987
2018-10-13,0.006451999768614769,0.006451999768614769,0.005084000062197447,0.005381000228226185,0.005381000228226185,1519
2018-10-14,0.0053820000030100346,0.0073079997673630714,0.0053170002065598965,0.007215000223368406,0.007215000223368406,969
2018-10-15,0.00722600007429719,0.007627000100910664,0.006874999962747097,0.007178999949246645,0.007178999949246645,1259
2018-10-16,0.007174000144004822,0.00736499996855855,0.006517999805510044,0.006965999957174063,0.006965999957174063,1234
2018-10-17,0.0070130000822246075,0.007124000228941441,0.006455000024288893,0.006510999985039234,0.006510999985039234,996
2018-10-18,0.006512000225484371,0.006682999897748232,0.006277000065892935,0.006372000090777874,0.006372000090777874,916
2018-10-19,0.006428000051528215,0.0065100002102553844,0.006262000184506178,0.006312000099569559,0.006312000099569559,1368
2018-10-20,0.006308000069111586,0.0071229999884963036,0.006308000069111586,0.006984000094234943,0.006984000094234943,1237
2018-10-21,0.00698099983856082,0.007116000168025494,0.0066720000468194485,0.007098000030964613,0.007098000030964613,1813
2018-10-22,0.007098000030964613,0.007104000076651573,0.006541999988257885,0.00659599993377924,0.00659599993377924,1279
2018-10-23,0.006597000174224377,0.006779000163078308,0.006546999793499708,0.006684000138193369,0.006684000138193369,1267
2018-10-24,0.006663000211119652,0.0084610003978014,0.006628999952226877,0.007269000168889761,0.007269000168889761,1564
2018-10-25,0.007176999934017658,0.009603999555110931,0.00672899978235364,0.008806999772787094,0.008806999772787094,1380
2018-10-26,0.008803999982774258,0.009455000050365925,0.00864499993622303,0.009053000248968601,0.009053000248968601,1519
2018-10-27,0.008957000449299812,0.009813999757170677,0.008932000026106834,0.00976100005209446,0.00976100005209446,1682
2018-10-28,0.009758000262081623,0.009801999665796757,0.0067170001566410065,0.009355000220239162,0.009355000220239162,3050
2018-10-29,0.009351000189781189,0.009819000028073788,0.008741999976336956,0.009092999622225761,0.009092999622225761,1546
2018-10-30,0.00912499986588955,0.009277000091969967,0.008820000104606152,0.008950999937951565,0.008950999937951565,1306
2018-10-31,0.00897200033068657,0.009150000289082527,0.008593999780714512,0.008824000135064125,0.008824000135064125,1460
2018-11-01,0.008825000375509262,0.00949500035494566,0.008825000375509262,0.009100999683141708,0.009100999683141708,1201
2018-11-02,0.009100999683141708,0.009322999976575375,0.009057000279426575,0.00917499978095293,0.00917499978095293,1342
2018-11-03,0.009132999926805496,0.00929300021380186,0.0087909996509552,0.008919999934732914,0.008919999934732914,966
